 (Half Day),（半天）
Row {0}:Start Date must be before End Date,第{0}行 ：开始日须早于结束日
Row {1}: Quantity ({0}) cannot be a fraction. To allow this, disable '{2}' in UOM {3}.,第{1}行:数量 ({0}不可以是小数， 要允许小数，请在计量单位{3}基础资料中取消勾选'{2}'
Row {idx}: {field} is required to create the Opening {invoice_type} Invoices,需要行{idx}：{field}才能创建开票{invoice_type}发票
Row {}: Asset Naming Series is mandatory for the auto creation for item {},第{}行: 为物料 {} 勾选通过采购自动创建资产基础资料后，资产编号模板必填
Row {}: Expense Head changed to {},第{}行：费用科目已变更为 {}
Row,行
Rows Added in Exploded Items,增加的下层物料行
Rows Added in Items,增加的物料行
Rows Added,新增行
Rows Removed,已删除行
Rows with duplicate due dates in other rows were found: {0},其他行已存在相同的付款到期日：{0}
Rows with duplicate due dates in other rows were found: {list},在其他行中找到具有重复到期日的行：{list}
Rows with Same Account heads will be merged on Ledger,相同科目会被自动合并
Rule Applied,适用规则
Rule Description,规则描述
Rule Name,规则名称
Rule,规则
Rules defining transition of state in the workflow.,工作流状态转换规则。
Rules for adding shipping costs.,增加运输成本的规则。
Rules for applying different promotional schemes.,适用不同促销计划的规则。
Rules for applying pricing and discount.,规则适用的定价和折扣。
Run Jobs only Daily if Inactive For (Days),仅在几天未执行后改为每天执行
Run scheduled jobs only if checked,只有勾选后，才会运行计划任务
Run Script Test,运行脚本测试
Run Tests,运行测试
Run,跑
Running,正在运行
Runtime,运行
S.O. No.,销售订单号
S3 Backup complete!,S3备份完成！
S3 Backup Settings,S3备份设置
sa-east-1,SA-东1
Safety Stock,安全库存
Salary breakup based on Earning and Deduction.,基于收入和扣除的工资信息。
Salary Component Account,薪资构成科目
Salary Component for timesheet based payroll.,按工时表付薪的薪资构成项。
Salary Component Type,薪资构成项类型
Salary Component,薪资构成项
Salary Detail,薪资详细信息
Salary Details,薪资信息
Salary Mode,工资发放方式
Salary Payments Based On Payment Mode,基于付款方式付薪
Salary Payments via ECS,基于电子清算服务付薪
Salary Payout,薪资支付
Salary Register,工资台账
Salary Slip Based on Timesheet,基于工时表
Salary Slip ID,工资单编号
Salary Slip Loan,工资单借款
Salary Slip of employee {0} already created for this period,此期间的员工{0}工资单已创建
Salary Slip of employee {0} already created for time sheet {1},员工的工资单{0}已为工时表创建{1}
Salary Slip submitted for period from {0} to {1},从{0}到{1}
Salary Slip Timesheet,工资单工时表
Salary Slip,工资单
Salary Slips Created,工资单已创建
Salary Slips Submitted,提交工资单
Salary Structure Assignment for Employee already exists,员工的薪资结构分配已经存在
Salary Structure Assignment,薪资结构分配
Salary Structure Employee,薪资结构员工
Salary Structure Missing,未分配薪资结构
Salary Structure must be submitted before submission of Tax Ememption Declaration,薪酬结构必须在提交免税申报之前提交
Salary Structure not found for employee {0} and date {1},未找到{1}日有效的员工{0}薪资结构
Salary Structure should have flexible benefit component(s) to dispense benefit amount,薪资结构应该包括弹性福利项以分配福利金额
Salary Structure,薪资结构
Salary,工资
Sales Account,销售科目
Sales Analytics,销售统计分析
Sales and Returns,销售和退货
Sales Browser,销售列表
Sales campaigns.,促销活动。
Sales Defaults,销售默认值
Sales Details,销售信息
Sales Expenses,销售费用
Sales Funnel,销售漏斗
Sales Invoice Advance,销售发票预付款
Sales Invoice has been submitted successfully,已成功提交销售发票
Sales Invoice Item,销售发票明细
Sales Invoice Message,销售发票信息
Sales Invoice No,销售发票编号
Sales Invoice Payment,销售发票付款
Sales Invoice Series,销售发票编号模板
Sales Invoice Timesheet,销售发票工时表
Sales Invoice Trends,销售发票趋势
Sales Invoice {0} created as paid,销售发票{0}已创建为已付款
Sales Invoice {0} created,已创建销售发票{0}
Sales Invoice {0} has already been submitted,销售发票{0}已提交过
Sales Invoice {0} must be cancelled before cancelling this Sales Order,取消此销售订单前必须取消销售发票{0}
Sales Invoice,销售发票
Sales Invoices Summary,销售发票汇总
Sales Manager,销售经理
Sales Master Manager,销售基础资料管理员
Sales Monthly History,销售月历
Sales Order Analysis,销售订单执行追踪表
Sales Order Date,销售订单日期
Sales Order has been submitted successfully,已成功提交销售订单
Sales Order Item,销售订单明细
Sales Order Message,销售订单信息
Sales Order Packed Item,销售订单套件明细
Sales Order Reference,销售订单号
Sales Order required for Item {0},销售订单为物料{0}的必须项
Sales Order Required for Sales Invoice & Delivery Note Creation,新销售发票和销售出库必须关联销售订单
Sales Order Required,必须有销售订单
Sales Order Series,销售订单单据编号模板
Sales Order Status,销售订单状态
Sales Order to Payment,销售订单到付款
Sales Order Trends,销售订单趋势
Sales Order {0} is not submitted,销售订单{0}未提交
Sales Order {0} is not valid,销售订单{0}无效
Sales Order {0} is {1},销售订单{0} {1}
Sales Order,销售订单
Sales orders are not available for production,无待生产的销售订单
Sales Orders Detail,销售订单信息
Sales Orders to Bill,待开票销售订单
Sales Orders to Deliver,待出货销售订单
Sales Orders,销售订单
Sales Partner Addresses And Contacts,业务伙伴地址和联系人
Sales Partner and Commission,业务伙伴及佣金
Sales Partner Commission Summary,业务伙伴佣金汇总
Sales Partner Item,业务伙伴明细
Sales Partner Name,业务伙伴名称
Sales Partner Target Variance Based On Item Group,业务伙伴物料组业绩达成分析
Sales Partner Target,业务伙伴目标
Sales Partner Transaction Summary,业务伙伴业绩统计
Sales Partner Type,业务伙伴类型
Sales Partner,业务伙伴
Sales Partners and Territory,业务伙伴和地区
Sales Partners Commission,业务伙伴佣金
Sales Payment Summary,销售收款汇总
Sales Person Commission Summary,业务员佣金汇总表
Sales Person Name,业务员姓名
Sales Person Target Variance Based On Item Group,业务员物料组业绩达成分析
Sales Person Target Variance Item Group-Wise,物料组的销售人员目标差异
Sales Person Targets,业务员销售目标
Sales Person,业务员
Sales Person-wise Transaction Summary,业务员业绩统计表
Sales Pipeline Analytics,销售渠道分析
Sales Pipeline,销售渠道
Sales Price List,销售价格表
Sales Register,销售台账
Sales Return,销售退货
Sales Settings,销售设置
Sales Stage,销售阶段
Sales Summary,销售统计
Sales Tax Template,销售税费模板
Sales Taxes and Charges Template,销售税费模板
Sales Taxes and Charges,销售税费
Sales Team Details,销售团队信息
Sales Team,销售团队
Sales Team1,销售团队1
Sales Update Frequency in Company and Project,按公司与项目销售统计数据更新频率
Sales Update Frequency,销售统计数据更新频率
Sales User,销售员
Sales,销售
sales-browser,销售浏览器
Sales-S,销售收入
Salesforce,销售队伍
Salutation,称呼
Same Company is entered more than once,公司代码在另一行已输入过，重复了
Same Field is entered more than once,相同字段不止一次输入
Same file has already been attached to the record,同一文件已被链接到此记录
Same item cannot be entered multiple times.,同一物料不能输入多次。
Same item has been entered multiple times,同一物料重复输入了多次（不同的行）
Same item has been entered multiple times. {0},相同的物料已被多次输入。 {0}
Same Item,相同物料
Same supplier has been entered multiple times,同一个供应商已多次输入
Sample Collection,样品收集
Sample ID,样品编号
Sample quantity {0} cannot be more than received quantity {1},采样数量{0}不能超过接收数量{1}
Sample Quantity,样品数量
Sample Retention Warehouse,样品仓
Sample Size,样本大小
Sample,样本
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,核准金额不能大于申报额行{0}。
Sanctioned Amount,已核准金额
Sanctioned,核准
Sand Composition (%),沙成分（％）
Sand,砂
Sandy Clay Loam,桑迪粘土壤土
Sandy Clay,桑迪粘土
Sandy Loam,桑迪Loam
Sat,周六
Saturday,星期六
Save API Secret: ,保存API密码：
Save As,另存为
Save Filter,保存过滤条件
Save filters,保存过滤条件
Save Report,保存报表
Save the document first.,首先保存单据。
Save,保存
Saved Successfully,保存成功
Saved,已保存
Saving {0},保存{0}
Saving,保存
Saving...,保存...
Scan Barcode,扫条码
Scan mode enabled, existing quantity will not be fetched.,扫描模式开启，不会获取现有数量。
Scan Mode,扫码模式
Scan the QR Code and enter the resulting code displayed.,扫描QR码并输入显示的结果代码。
Scanned Cheque,支票扫描
Schedule Admission,安排入场
Schedule Course,排课
Schedule Date,计划日期
Schedule Discharge,附表卸货
Schedule Name,计划名称
Schedule Send,定时发送
Schedule,计划任务
Scheduled Date,计划日期
Scheduled Job Log,后台任务运行日志
Scheduled Job Type,已排程后台任务
Scheduled Jobs Logs,后台任务日志
Scheduled On,预定于
Scheduled Time,计划时间
Scheduled to send to {0} recipients,计划发送到{0}个收件人
Scheduled to send to {0},计划发送到{0}
Scheduled to send,计划送
Scheduled To Send,预定发送
Scheduled Upto,计划的高级
Scheduled,计划内
Scheduler Event,后台任务事件
Scheduler Inactive, 后台任务未启动
Scheduler is inactive. Cannot import data.,后台任务未启动，无法导入数据
Scheduler is inactive. Cannot merge accounts.,后台任务进程未开启，无法合并科目
Scheduler Last Event,调度上次事件
Scheduler: Active,后台任务:运行中
Scheduler: Inactive,后台任务:未运行
Schedules,计划任务
Scheduling Tool,调度工具
Scheduling,排程
School House,校区
School/University,学校/大学
Scientific Name,科学名称
SCO Supplied Item,委外订单原材明细
Scope,范围
Scopes,范围
Score (0-5),得分（0-5）
Score cannot be greater than Maximum Score,分数不能超过最高得分
Score Earned,已得分数
Score must be less than or equal to 5,得分必须小于或等于5
Score out of 100,百分制
Score,得分了
Scorecard Actions,记分卡操作
Scorecards,记分卡
Scoring Criteria,评分标准
Scoring Setup,得分设置
Scoring Standings,得分排名
Scrap %,报废率％
Scrap & Process Loss,报废与制程损耗
Scrap Asset,报废资产
Scrap Item Code,报废料号
Scrap Item Name,报废品名
Scrap Items,废品
Scrap Material Cost(Company Currency),废料成本（本币）
Scrap Material Cost,废料成本
Scrap Warehouse,报废品仓
Scrap,废料
Scrapped,已报废
Script Code,脚本代码
Script Manager,脚本管理员
Script or Query reports,脚本或查询报表
Script Report,脚本报表
Script to attach to all web pages.,插入到所有网页的脚本
Script Type,脚本类型
Script URL,脚本网址
Script,脚本
Scripting,脚本
Search APIs,搜索API
Search Application,搜索应用程序
Search Bar,搜索框
Search by filename or extension,按文件名或后缀搜索
Search by item code, serial number or barcode,"按料号，序列号，批号搜索"
Search by itemcode, serial number or barcode,按料号，序列号或条码检索
Search field {0} is not valid,搜索字段{0}无效
Search Fields,搜索字段
Search for '{0}',搜索“{0}”
Search for a payment,搜索付款
Search for anything ...,搜索任何东西
Search for anything,搜索任何内容
Search Help,搜索帮助
Search in a document type,在单据类型中搜索
Search Item (Ctrl + i),搜索物料（Ctrl + i）
Search Item,搜索物料
Search Items ...,搜索....
Search or Create a New Chat,搜索或创建一个新的聊天
Search or type a command,搜索或输入命令
Search Priorities,搜索优先级
Search results for,搜索...
Search Results for,搜索结果
Search Results,搜索结果
Search Source Text,搜索关键字
Search Sub Assemblies,搜索生产物料
Search Term Param Name,搜索字词Param Name
Search term,搜索词
Search Term,检索关键词
Search the docs,搜索单据
Search,搜索
Search...,搜索...
Searching ...,搜索中...
Searching,搜索
Seating Capacity,座位数
Second Email,第二封邮件
Secondary Party,次要业务伙伴代码
Secondary Role,次要角色
Secret Access Key,访问密钥
Secret Key,密钥
Secret,秘密
Secretary,秘书
Section Based On,分区基于
Section Break,段
Section Cards,分区卡片
Section Code,部分代码
Section Footer,章节页脚
Section Header,节标题
Section Heading,节标题
Section HTML,部分HTML
Section Leader,节标题
Section Name,部分名称
Section Order,分区顺序
Section Subtotal,部分小计
Secured Loans,抵押借款
Securities & Commodity Exchanges,证券及商品交易
Securities and Deposits,证券及存款
Securities,担保
Security Settings,安全设置
Security,安全
See All Articles,查看所有文章
See all open tickets,查看所有未完成客服工单
See all past reports.,查看所有过去的报表。
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,有关详细信息，请参阅https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region。
See on Website,在门户网站查看
See past orders,查看以前的订单
See past quotations,查看以前的报价
See the document at {0},请参阅{0}处的单据
Seems API Key or API Secret is wrong !!!,似乎API密钥或API的秘密是错误的！
Seems ldap is not installed on system.,似乎ldap没有安装在系统上。
Seems ldap is not installed on system.<br>Guidelines to install ldap dependancies and python package,似乎ldap没有安装在系统上。 <br>ldap依赖和python包的安装指引
Seems Publishable Key or Secret Key is wrong !!!,似乎可发布的密钥或秘密密钥错误！
Seems token you are using is invalid!,似乎你使用的令牌是无效的！
Seen By Table,查看人列表
Seen By,谁查看过
Seen,可见
Select a Brand Image first.,首先选择一个品牌形象。
Select a chat to start messaging.,选择一个聊天开始消息。
Select a company,选择一家公司
Select a Default Priority.,选择默认优先级。
Select a DocType to make a new format,请选择单据类型 创建新打印格式
Select a group node first.,请先选择一个组节点。
Select a Supplier from the Default Supplier List of the items below.,选择供应商
Select account head of the bank where cheque was deposited.,请选择支票存入的银行户头。
Select All,全选
Select Alternate Item,选替代物料
Select an account to print in account currency,选择一个科目以科目币别进行打印
Select an employee to get the employee advance.,获取员工预付款前请先选择员工。
Select an existing format to edit or start a new format.,选择现有或创建一个新格式。
Select an image of approx width 150px with a transparent background for best results.,为了最佳效果，请选择一个宽度约150像素，背景透明的图片。
Select at least one value from each of the attributes.,从每个属性中至少选择一个值。
Select atleast 1 record for printing,选择打印ATLEAST 1项纪录
Select atleast 2 actions,选择至少2个操作
Select Attachments,选择附件
Select Attribute Values,选择属性值
Select Batch No,选择批号
Select Batch Numbers,选择批号
Select Batch,选择批号
Select Billing Address,发票地址
Select BOM and Qty for Production,选择BOM和生产数量
Select BOM,选择BOM
Select Brand...,选择品牌...
Select change amount account,选择零钱科目
Select Child Table,选择子表
Select Column,选择列
Select Columns,选择列
Select Companies,选择公司
Select company first,首先选择公司
Select company name first.,请先选择公司
Select Company,选择公司
Select Company...,选择公司...
Select Customer,选择客户
Select Days,选择天数
Select Default Supplier,选择默认供应商
Select Delivery Notes,选择销售出库
Select Department...,选择部门...
Select Difference Account,选择差异科目
Select DocType,选择单据类型
Select Document Type or Role to start.,请选择单据类型或角色。
Select Document Type,选择单据类型
Select Document Types to set which User Permissions are used to limit access.,选择用户权限针对的单据类型。
Select Employees,选择员工
Select Field,选择字段
Select Field...,选择字段
Select fields to export,选择待导出的字段
Select Fields To Insert,选择字段
Select File Format,选择文件格式
Select File Type,选择文件类型
Select Filters,选择过滤条件
Select finance book for the item {0} at row {1},请为第{1}行的物料{0}选择账簿
Select Fiscal Year,选择财年
Select Fiscal Year...,选择财年...
Select from existing attachments,从现有的附件选择
Select Group By...,选择分组字段
Select Healthcare Practitioner...,选择医生......
Select interest income account in loan {0},选择借款{0}中的利息收入科目
Select Item (optional),选择物料（可选）
Select item group,选择物料组,
Select Items based on Delivery Date,根据出货日期选择物料
Select Items for Quality Inspection,选择待检验物料
Select Items to Manufacture,选择待生产物料
Select items to save the invoice,选取物料以保存发票
Select Items,选择物料
Select Language...,选择语言...
Select Languages,选择语言
Select Letter Head,选择信头
Select Link,读(链接字段)
Select list item,选择列表项
Select Loyalty Program,选择积分方案
Select Mandatory,选择必填字段
Select Maximum Of 1,选择最多1个
Select Module,选择模块
Select Monthly Distribution to unevenly distribute targets across months.,如果要不规则的按月分配，请选择“每月分摊比例模板”。
Select multiple list items,选择多个列表项
Select Network Printer,选择网络打印机
Select only one Priority as Default.,仅选择一个优先级作为默认值。
Select or add new customer,选择或添加新客户
Select or drag across time slots to create a new event.,选择或拖动一个时间范围，创建新事件。
Select Patient,选择患者
Select Payment Account to make Bank Entry,选择付款科目生成银行凭证
Select Payroll Period,选择工资期间
Select POS Profile,选择POS配置文件
Select Possible Supplier,选择潜在供应商
Select Print Format to Edit,选择要编辑的打印格式
Select Print Format,选择打印格式
Select Property,选择属性
Select Quantity,选择数量
Select records for assignment,选择待分派记录
Select Role,选择角色
Select Serial No,选择序列号
Select Serial Numbers,选择序列号
Select Shipping Address,选择送货地址
Select Status,选择状态
Select students manually for the Activity based Group,基于活动创建班级，请手动添加学生
Select Supplier Address,选择供应商地址
Select Table Columns for {0},选择{0}的列
Select Target Warehouse,选择收料仓
Select template,选择模板
Select Terms and Conditions,选择条款和条件
Select the customer or supplier.,选择客户或供应商。
Select the label after which you want to insert new field.,选择希望在其后插入新字段的标签，。
Select the nature of your business.,选择您的业务性质。
Select the program first,首先选择程序
Select the Warehouse,请先选择仓库
Select to add Serial Number.,选择添加序列号。
Select To Download:,选择要下载：
Select Transaction,选择单据类型
Select two versions to view the diff.,选择两个版本比较差异
Select Type...,选择类型...
Select uploaded file,选择已上传文件
Select Users,选择用户
Select Vouchers to Match,选择待匹配凭证
Select warehouse for material requests,请先选择物料需求仓
Select Warehouse...,选择仓库...
Select Warehouses to get Stock for Materials Planning,选择仓库
Select your Domains,选择行业
Select your Region,选择区域
Select Your Region,选择所属地区
Select {0},选择{0}
SELECT,下拉框读取
Select,单选
Selected Option,已选项
selected Payment Terms Template,付款条款模板字段
Selected Price List should have buying and selling fields checked.,价格表基础数据中应勾选采购和销售。
Selected Qty,已选数量
Selected Serial No,已选择序列号
Selected Serial Numbers,已选序列号
Selected Vouchers,已选凭证
Self approval is not allowed,不允许申请者自己批准
Self delivery,自运
Self-Driving Vehicle,自驾车
Self-Study,自学
Sell Asset,出售资产
Sell,销售
Seller ID,卖家ID
Selling Amount,销售金额
Selling Price List,销售价格表
Selling rate for item {0} is lower than its {1}. Selling rate should be atleast {2},物料{0}的销售价格低于其{1}。售价应至少为{2}
Selling Rate,销售价
Selling Settings,销售设置
Selling,销售
Seminar,研讨会
Send After (days),几天后发送
Send After,发送后
Send alert if date matches this field's value,如果日期匹配该字段的值则发送预警通知
Send alert if this field's value changes,如果这个字段的值改变则发送预警通知
Send Alert On,通知发送时机
Send an email reminder in the morning,早上发送邮件提醒
Send an email to {0} to link it here.,发电子邮件至{0}以将其链接到此处。
Send As Email,作为电子邮件发送
Send Attachements,发送附件
Send Attachments,发送附件
Send automatic emails to Contacts on Submitting transactions.,交易提交时自动向联系人发电子邮件。
Send days before or after the reference date,参考日几天前或后发送
Send document web view link in email,发电子邮件文件Web视图链接
Send Email Alert,发送邮件提醒
Send Email for Successful Backup,备份成功后发电子邮件
Send Email Print Attachments as PDF (Recommended),使用PDF格式发送打印附件（推荐）
Send Email,发电子邮件
Send Emails At,电子邮件发送时机
Send enquiries to this email address,向此邮件地址发送询价
Send Feedback Request only if there is at least one communication is available for the document.,发送反馈请求仅当有至少一个通信是可用于单据。
Send Grant Review Email,发送格兰特回顾邮件
Send Leave Notification,发送休假通知
Send mass SMS to your contacts,向您的联系人群发短信。
Send Me A Copy of Outgoing Emails,给我自己发电子邮件的副本
Send me a copy,抄送给自己
Send Me A Copy,给我自己抄送一份
Send Notification to,通知发送到
Send Notifications For Documents Followed By Me,关注单据变更通知
Send Notifications for Email threads,发电子邮件主题通知
Send Notifications For Email Threads,发送邮件沟通通知给我
Send Notifications for Transactions I Follow,关注单据变更通知
Send Notifications To,将通知发给
Send Now,立即发送
Send only if there is any data,仅在有数据时发送
Send Password Update Notification,发送密码更新通知
Send Password,发送密码
Send Payment Request Email,发送收款申请电子邮件
Send Payment Request,发送收款申请
Send Print as PDF,使用PDF格式发送打印
Send Read Receipt,发送阅读回执
Send regular summary reports via Email.,通过邮件发送常规统计报表。
Send SMS,发短信
Send Supplier Emails,发电邮给供应商
Send System Notification,发送系统通知
Send To All Assignees,发送给所有待办执行人,
Send to Subcontractor,委外发料
Send to Warehouse,二步调拨-发出(在途)
Send To,发送到
Send Unsubscribe Link,发送退订链接
Send unsubscribe message in email,发电子邮件退订消息
Send Welcome Email,发送欢迎电子邮件
Send with Attachment,发送附件
Send,发送
Sender Email,发件人电子邮箱
Sender Field,发送者字段
Sender Name,发件人名称
Sender,发件人
Sending,发送中
Sensitivity Test Items,灵敏度测试项目
Sensitivity,灵敏度
Sent On,发送日期
Sent or Received,已发送或已接收
Sent Read Receipt,发送阅读回执
Sent To,发给
Sent,已发送
Sent/Received Email,收/发电子邮件
Sep 2019,2019-09
SEP,09
Sep,09
Separate course based Group for every Batch,在班级中按批报课
Separate Groups,单独的组
September,9月
Sequence ID,并行顺序号,
Serial #,序列号
Serial & Batch Item Settings,序列号与批号设置
Serial & Batch Item,序列号与批号
Serial No / Batch,序列号/批号
Serial No and Batch for Finished Good,成品序列号与批号
Serial No and Batch,序列号和批号
Serial No Details,序列号信息
Serial No is mandatory for Item {0},序列号是物料{0}的必须项
Serial no is mandatory for the item {0},物料{0}的序列号必填
Serial no is required for the asset {0},资产{0}需要序列号
Serial no item cannot be a fraction,序号不能是一个分数
Serial No Service Contract Expiry,序列号/年度维护保修期
Serial No Status,序列号状态
Serial No Warranty Expiry,序列号/保修期
Serial No {0} created,序列号{0}已创建
Serial No {0} does not belong to any Warehouse,序列号{0}不属于任何仓库
Serial No {0} does not belong to Batch {1},序列号{0}不属于批号{1}
Serial No {0} does not belong to Delivery Note {1},序列号{0}不属于销售出库{1}
Serial No {0} does not belong to Item {1},序列号{0}不属于物料{1}
Serial No {0} does not belong to Warehouse {1},序列号{0}不属于仓库{1}
Serial No {0} does not exist,序列号{0}不存在
Serial No {0} has already been received,序列号{0}已收到过
Serial no {0} has been already returned,序列号{0}已被退回
Serial No {0} is under maintenance contract upto {1},序列号{0}截至至{1}之前在年度保养合同内。
Serial No {0} is under warranty upto {1},序列号{0}截至至{1}之前在保修内。
Serial No {0} not found,序列号{0}未找到
Serial No {0} not in stock,序列号{0}无库存
Serial No {0} quantity {1} cannot be a fraction,序列号{0}的数量{1}不能是分数
Serial No,序列号
Serial Nos and Batches,序列号和批号
Serial Nos Required for Serialized Item {0},必须为启用序列号管理的物料{0}指定序列号
Serial nos {0} does not belongs to the location {1},序列号{0}不属于地点{1}
Serial Nos,序列号
Serial Number Series,序列号模板
Serial number {0} entered more than once,序列号{0}已多次输入
Serial Number: {0} is already referenced in Sales Invoice: {1},序号：{0}已在销售发票中引用：{1}
Serial Numbers in row {0} does not match with Delivery Note,第{0}行中的序列号与销售出库不匹配
Serial Numbers,序列号
Serialised and Batch Setting,序列号和批号设置
Serialized Inventory,使用序列号管理库存
Series for Asset Depreciation Entry (Journal Entry),固定资产折旧凭证编号模板（日记账凭证）
Series is mandatory,单据编号模板是必填字段
Series List for this Transaction,本单据类型单据编号模板清单
Series Updated for {},单据类型 {} 的编号模板已更新
Series Updated Successfully,单据编号模板已成功更新
Series Updated,单据编号模板已更新
Series {0} already used in {1},单据编号模板{0}已经被{1}使用
Series,单据编号模板
Served,曾任
Server Error,服务器错误
Server Error: Please check your server logs or contact tech support.,服务器错误：请检查服务器日志或联系技术支持。
Server IP,服务器IP
Server Script,Python脚本
Server,服务器
Service (optional),服务 (可选)
Service Address,服务地址
Service Cost Per Qty,每单位加工费
Service Day,服务日
Service Detail,服务细节
Service Details,服务细节
Service End Date,服务结束日期
Service Expense,服务费用
Service Expenses,服务类费用
Service Item,服务项目
Service Items,委外加工费明细
Service Level Agreement Creation,服务水平协议创建
Service Level Agreement Fulfilled,达成服务水平协议
Service Level Agreement has been changed to {0}.,服务水平协议已更改为{0}。
Service Level Agreement Reset.,服务水平协议重置。
Service Level Agreement tracking is not enabled.,未启用服务水平协议跟踪。
Service Level Agreement with Entity Type {0} and Entity {1} already exists.,与实体类型{0}和实体{1}的服务水平协议已存在。
Service Level Agreement,服务水平协议
Service Level Agreement.,服务水平协议。
Service Level Agreements,服务等级协定
Service Level Priority,服务水平优先级
Service Level,服务水平
Service Level.,服务水平。
Service Provider,服务商
Service Received But Not Billed,暂估服务(收货未开票)
Service Start Date,服务开始日期
Service Stop Date cannot be after Service End Date,服务停止日不能晚于服务结束日
Service Stop Date cannot be before Service Start Date,服务停止日期不能早于服务开始日期
Service Stop Date,服务停止日期
Service Unit Type,服务单位类型
Service Unit,服务单位
Service,服务
Services,服务
Session Defaults,会话默认值
Session Expired,会话已过期
Session Expiry (idle timeout),会话超时(无操作超时)
Session Expiry in Hours e.g. 06:00,会话过期的时间(小时)，例如06:00
Session Expiry Mobile,会话过期(移动设备)
Session Expiry must be in format {0},会话到期格式必须是{0}
Session Expiry,会话过期
Session Start Failed,会话启动错误
Session Token,会话令牌
Set 0 for no limit,0表示不限数量
Set a sales goal you'd like to achieve for your company.,为您的公司设定您想要实现的销售目标。
Set a Target,设定目标
Set Accepted Warehouse,收货仓库
Set Advances and Allocate (FIFO),设置预付和分配（先进先出）
Set as Closed,设置为关闭
Set as Completed,设为已完成
Set as Default,设置为默认值
Set as Lost,设置为未成交
Set as Open,设置为打开状态
Set Banner from Image,从图像设置横幅
Set Basic Rate Manually,手动设置成本
Set by user,用户输入
Set Chart,设置图表
Set custom roles for page and report,为页面和报表设置自定义角色
Set default inventory account for perpetual inventory,设置永续盘存模式下的默认库存科目
Set default mode of payment,设置默认付款方式
Set Desktop Icons,设置桌面图标
Set Details,设置细节
Set Exchange Gain / Loss,设置汇兑损益
Set Filters,设置过滤条件
Set From Warehouse,发料仓
Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,设置B2C的发票值。 B2CL和B2CS根据此发票值计算。
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,为此区域设置物料组层级的预算。还可以设置“每月分摊比例模板”，按季节设置不同的预算。
Set Landed Cost Based on Purchase Invoice Rate,根据采购发票价格设置成本
Set Meta Tags,设置元标记
Set Naming Series options on your transactions.,设置单据编号模板选项
Set New Password,设置新密码
Set New Release Date,设置解除冻结日期
Set non-standard precision for a Float or Currency field,为浮点或货币字段设置非标准精度
Set Number of Backups,设置备份数量
Set numbering series for transactions.,设置单据编号模板前缀。
Set Only Once,仅设置一次
Set only once,仅设置一次
Set Open,设置打开
Set Operating Cost Based On BOM Quantity,工费成本基于产出数量
Set Password,设置密码
Set Permissions on Document Types and Roles,为单据类型和角色设置权限
Set Permissions,设置权限
Set prefix for numbering series on your transactions,设置单据编号模板前缀
Set Project and all Tasks to status {0}?,将项目和所有任务设置为状态{0}？
Set Project Status,设置项目状态
Set Property After Alert,发送通知后变更字段值
Set Qty in Transactions Based on Serial No Input,根据输入的序列号个数自动填写数量
Set Quantity,设置数量
Set rate of sub-assembly item based on BOM,生产物料单价取其BOM成本
Set Reserve Warehouse,设置预留仓
Set Response Time and Resolution for Priority {0} at index {1}.,在索引{1}处设置优先级{0}的响应时间和分辨率。
Set Role For,为..设置角色
Set Source Warehouse,发料仓
Set Start Time and End Time for  \					Support Day {0} at index {1}.,在索引{1}处为\支持日{0}设置开始时间和结束时间。
Set Status,设置状态
Set Target Warehouse,收料仓
Set targets Item Group-wise for this Sales Person.,为本业务员设置物料组级的销售目标
Set Tax Rule for shopping cart,设置购物车税规则
Set the display label for the field,为此字段设置显示标签
Set the status manually.,手工设置状态
Set this if the customer is a Public Administration company.,如果客户是公共管理公司，请设置此项。
Set up rules for user assignments.,设置用户分派规则。
Set up your Warehouse,设置仓库
Set User Permissions,设置用户权限
Set Value,设定值
Set warehouse for Procedure {0} ,为过程{0}设置仓库
Set Warehouse,仓码
Set {0} in asset category {1} or company {2},在资产类别{1}或公司{2}中设置{0}
Set,有值,Field value is set
Sets 'Accepted Warehouse' in each row of the items table.,为每个物料行设置默认收料仓
Sets 'For Warehouse' in each row of the Items table.,为物料明细行设置默认仓码
Sets 'From Warehouse' in each row of the items table.,为每个物料行设置默认发出仓
Sets 'Rejected Warehouse' in each row of the items table.,为每个物料行设置默认拒收仓
Sets 'Source Warehouse' in each row of the items table.,为物料明细行设置发料仓
Sets 'Target Warehouse' in each row of the items table.,为物料明细行设置收料仓
Sets 'Warehouse' in each row of the Items table.,为物料明细行设置仓码
Sets the current page as default for all users,设为所有用户默认工作区
Setting Account Type helps in selecting this Account in transactions.,设置科目类型有助于在交易中选择该科目。
Setting defaults,设置默认值
Setting Key,默认链接字段
Setting the account as a Company Account is necessary for Bank Reconciliation,银行对账功能仅限本公司银行户头
Setting this Address Template as default as there is no other default,将此地址模板设置为默认，因为没有其他的默认项
Setting up company and taxes,创建公司和税项规则
Setting up company,创建公司
Setting up Email Account,设置电子邮件科目
Setting up Email,设置电子邮件
